#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,,,,,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,,,,
4.49,0,4.27,0,4.24,0,4.25,0,4.2,0,4.3,0,4.22,0,4.28,0,4.33,0,4.6,0,4.23,0,4.27,0,4.21,0,,,,
4.57,0,4.35,0,4.28,0,4.33,0,4.28,0,4.34,0,4.3,0,4.36,0,4.41,0,4.68,0,4.31,0,4.35,0,4.33,0,,,,
4.65,0,4.43,0,4.32,0,4.41,0,4.36,0,4.38,0,4.38,0,4.44,0,4.49,0,4.76,0,4.39,0,4.43,0,4.45,0,,,,
4.73,0,4.51,0,4.36,0,4.49,0,4.44,0,4.42,0,4.46,0,4.52,0,4.57,0,4.84,0,4.47,0,4.51,0,4.57,0,,,,
4.81,0,4.59,0,4.4,0,4.57,0,4.52,0,4.46,0,4.54,0,4.6,0,4.65,0,4.92,0,4.55,0,4.59,0,4.69,0,,,,
4.89,0,4.67,0,4.44,0,4.65,0,4.6,0,4.5,0,4.62,0,4.68,0,4.73,0,5,0,4.63,0,4.67,0,4.77,0,,,,
4.97,0,4.75,0,4.48,0,4.73,0,4.68,0,4.54,0,4.7,0,4.76,0,4.81,0,5.08,0,4.71,0,4.75,0,4.83,0.77,,,,
5.05,0,4.83,0,4.52,0,4.81,0,4.76,0,4.62,0,4.78,0.055917987,4.84,0,4.89,0,5.16,0,4.83,0,4.83,0,5.03,0.6,,,,
5.13,0,4.91,0,4.56,0,4.89,0,4.84,0,4.66,0,4.86,0.036363636,4.92,0,4.97,0,5.24,0,4.99,0,4.91,0,5.11,0.64,,,,
5.21,0,4.99,0,4.6,0,4.97,0,4.93,0.092917479,4.7,0,4.94,0,5,0,5.05,0,5.32,0,5.11,0,4.99,0,5.23,0.64,,,,
5.29,0,5.07,0,4.64,0,5.05,0,5.01,0.170694864,4.72,0,5.02,0.01010101,5.08,0,5.13,0,5.4,0,5.23,0,5.07,0,5.36,0.47,,,,
5.37,0,5.15,0,4.68,0,5.13,0,5.09,0,4.76,0,5.1,0,5.16,0,5.21,0,5.48,0,5.31,0,5.15,0,5.48,0.42,,,,
5.61,0,5.23,0,4.72,0,5.85,0,5.16,0.189021233,4.78,0,5.18,0,5.24,0,5.37,0,5.56,0,5.43,0,5.23,0,5.6,0.46,,,,
5.69,0,5.31,0,4.76,0,5.93,0,5.24,0.227390181,4.82,0,5.26,0,5.32,0,5.45,0,5.64,0,5.55,0,5.35,0,5.68,0.4,,,,
