#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,,,,,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,,,,
5.66,0,5.64,0,5.66,0,5.88,0.138276553,6,0,5.66,1,5.64,0,5.68,0,5.66,0,5.69,0,5.62,0,5.7,1,5.62,0,,,,
5.74,0,5.72,0.383928571,5.7,0,5.96,1,6.08,0,5.7,1,5.72,0,5.76,0,5.74,0,5.77,0,5.72,1,5.9,1,5.76,0,,,,
5.82,1,5.8,0.594982079,5.74,0,6.04,0.611916264,6.16,0,5.74,1,5.8,0,5.84,0,5.82,0,5.85,0,5.79,1,6.15,0.84,5.9,0.27,,,,
5.98,0.868932039,5.88,0.57979798,5.78,0,6.12,0.341733251,6.24,0,5.76,1,5.88,0,5.92,0,5.9,0,5.93,0,5.91,0,6.37,0.84,6.05,0.32,,,,
6.06,0.798573975,5.96,0.71372549,5.82,0,6.36,0.051554506,6.56,0,5.83,1,5.96,0,6,0,5.98,0,6.01,0,6.03,0,6.53,0.86,6.17,0.14,,,,
6.14,0.779732583,6.04,0.756294964,5.86,0,6.52,0,6.72,0,5.84,1,6.04,0,6.08,0,6.06,0,6.09,0,6.15,0,6.69,0.87,6.28,0.05,,,,
6.22,0.732337737,6.12,0.669594595,5.9,0,6.68,0,6.8,0,5.88,1,6.12,0,6.16,0,6.14,0,6.17,0,6.23,0,6.81,0.84,6.45,0.07,,,,
6.3,0.704812834,6.2,0.703525641,5.94,0,6.76,0,6.96,0,5.9,1,6.2,0,6.4,0,6.22,0,6.25,0,6.31,0,6.93,0.83,6.56,0.14,,,,
6.38,0.669110459,6.28,0.523674242,6.9,0,6.84,0,7.04,0,5.92,1,6.36,0,6.48,0,6.3,0,6.33,0,6.43,0,7.09,0.31,6.62,0.2,,,,
6.46,0.716603053,6.36,0.345152603,6.98,0,6.92,0,7.12,0,5.99,1,6.44,0,6.56,0,6.38,0,6.41,0,6.51,0,7.17,0.46,6.7,0.07,,,,
6.54,0.546406473,6.44,0.5367713,7.06,0.28606357,7,0,7.28,0,5.88,1,6.52,0,6.8,0.181367144,6.46,0,6.49,0,6.59,0,7.25,0.22,6.78,0.2,,,,
6.62,0.511165049,6.52,0.481867445,7.14,0.359281437,7.08,0,7.36,0,6.06,1,6.6,0,6.88,0.24423676,6.54,0,6.57,0,6.71,0,7.33,0,6.9,0,,,,
6.86,0.394050104,6.6,0.389741342,7.22,0.257270694,7.16,0,7.44,0,6,0.775,6.68,0,6.96,0.257234727,6.62,0,6.65,0,6.83,0,7.41,0,7.02,0,,,,
6.94,0.182681564,6.68,0.398778769,7.3,0.409120521,7.24,0,7.52,0,6.19,0.719512195,6.76,0,7.04,0.184477612,6.7,0,6.73,0,6.95,0,7.49,0,7.14,0,,,,
7.02,0,6.76,0,7.38,0.301752109,7.32,0,7.6,0,6.22,0.75308642,6.84,0,7.12,0,6.78,0,6.81,0,7.07,0,7.57,0,7.22,0,,,,
7.1,0,6.84,0,7.46,0.302843966,7.4,0,7.67,0,,,6.92,0,7.2,0,6.86,0,6.89,0,7.19,0,7.65,0,7.3,0,,,,
7.18,0,6.92,0,7.54,0,7.48,0,,,6.42,0.666666667,7,0,7.28,0,6.94,0,6.97,0,7.31,0,7.73,0,7.38,0,,,,
7.26,0,7,0,7.62,0,7.56,0,,,6.36,0.81372549,7.08,0,7.36,0,7.02,0,7.05,0,7.43,0,7.81,0,7.46,0,,,,
7.38,0,7.08,0,,,7.64,0,,,6.57,0.882978723,7.16,0,7.52,0,7.1,0,7.13,0,7.59,0,7.89,0,7.54,0,,,,
7.62,0,7.16,0,,,7.72,0,,,6.78,0.431034483,7.24,0,7.6,0,7.18,0,7.21,0,7.71,0,7.97,0,7.66,0,,,,
7.7,0,7.36,0,,,7.8,0,,,6.88,0.902439024,7.32,0,7.68,0,7.26,0,7.29,0,7.79,0,8.09,0,7.74,0,,,,
7.78,0,7.44,0,,,7.88,0,,,6.9,0.804878049,7.4,0,7.76,0,7.34,0,7.37,0,7.87,0,,,7.82,0,,,,
,,7.52,0,,,7.96,0,,,7,0.907894737,7.48,0,7.85,0,7.42,0,7.45,0,,,,,7.9,0,,,,
,,7.6,0,,,,,,,7.11,1,7.56,0,,,7.5,0,7.53,0,,,,,,,,,,
,,,,,,,,,,7.23,0,7.64,0,,,7.58,0,7.61,0,,,,,,,,,,
,,,,,,,,,,7.35,0,7.72,0,,,7.66,0,7.69,0,,,,,,,,,,
,,,,,,,,,,7.47,0,7.8,0,,,7.74,0,7.77,0,,,,,,,,,,
,,,,,,,,,,7.59,0,7.86,0,,,7.83,0,7.85,0,,,,,,,,,,
,,,,,,,,,,7.67,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.79,0,,,,,,,,,,,,,,,,,,
