#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction
4.92,0,4.96,0,4.94,0,4.89,0,4.94,0,4.94,0,4.94,0,4.96,0,4.92,0,4.9,0,4.95,1,4.91,0,5.02,0
5,0,5.04,0,4.98,0,4.97,0,5.02,0,4.98,0,5.02,0,5.04,0,5,0,4.98,0,5.04,1,4.99,0,5.1,0
5.08,0,5.12,0,5.02,0,5.05,0,5.1,0,5.02,0,5.1,0,5.12,0,5.08,0,5.06,0,5.13,1,5.07,0,5.34,0
5.16,0,5.2,0,5.06,0,5.13,0,5.18,0,5.2,0,5.18,0,5.2,0,5.16,0,5.14,0,5.19,1,5.15,0,5.45,0.23
5.24,0,5.28,0,5.1,0,5.21,0,5.26,0,5.28,0,5.26,0,5.28,0,5.32,0,5.22,0,5.27,0,5.27,0,5.57,0.31
5.32,0,5.36,0,5.14,0,5.93,0,5.34,0,5.36,0,5.34,0,5.36,0,5.4,0,5.3,0,5.39,0,5.35,0,5.7,0.18
5.56,0,5.44,0,5.18,0,6.01,0,5.42,0,5.38,0,5.42,0,5.44,0,5.48,0,5.38,0,5.55,0,5.51,0,5.8,0.29
5.64,0,5.52,0,5.22,0,6.09,0,5.66,0,5.42,0,5.5,0,5.52,0,5.56,0,5.46,0,5.67,0,5.63,0,5.92,0.15
5.72,0,5.6,0,5.26,0,6.17,0,6.06,0,5.48,0,5.66,0,5.6,0,5.64,0,5.54,0,5.79,0,5.83,0,6.03,0.07
5.8,0,5.68,0,5.3,0,6.41,0,6.14,0,5.5,0,5.74,0,5.68,0,5.72,0,5.62,0,5.87,0,6.07,0,6.19,0
5.96,0,5.76,0,5.34,0,6.57,0,6.22,0,5.54,0,5.82,0,5.76,0,5.8,0,5.7,0,5.99,0,6.31,0,6.31,0
6.04,0,5.84,0,5.38,0,,,6.3,0,5.58,0,5.9,0,5.84,0,5.88,0,5.78,0,6.11,0,6.47,0,6.39,0
6.12,0,5.92,0,5.42,0,,,6.62,0,5.62,0,5.98,0,5.92,0,5.96,0,5.86,0,6.23,0,6.62,0,6.47,0
6.2,0,6,0,5.46,0,,,,,5.66,0,6.06,0,6,0,6.04,0,5.94,0,6.31,0,,,6.55,0
6.28,0,6.08,0,5.5,0,,,,,5.72,0,6.14,0,6.08,0,6.12,0,6.02,0,6.39,0,,,6.69,0
6.36,0,6.16,0,5.54,0,,,,,5.74,0,6.22,0,6.32,0,6.2,0,6.1,0,6.51,0,,,,
6.44,0,6.24,0,5.58,0,,,,,5.78,0,6.3,0,6.4,0,6.28,0,6.18,0,6.59,0,,,,
6.52,0,6.32,0,5.62,0,,,,,5.8,0,6.46,0,6.48,0,6.36,0,6.26,0,6.67,0,,,,
6.6,0,6.4,0,5.66,0,,,,,5.82,0,6.54,0,6.72,0,6.44,0,6.34,0,6.71,0,,,,
6.84,0,6.48,0,5.7,0,,,,,5.9,0,6.66,0,6.77,0,6.52,0,6.42,0,,,,,,
6.92,0,6.56,0,5.74,0,,,,,5.92,0,,,,,6.6,0,6.5,0,,,,,,
,,6.64,0,5.78,0.183348924,,,,,5.96,0,,,,,6.68,0,6.58,0,,,,,,
,,6.73,0,5.82,0,,,,,6.04,0,,,,,6.76,0,6.66,0,,,,,,
,,,,5.86,0,,,,,6.08,0,,,,,,,,,,,,,,
,,,,5.9,0,,,,,6.12,0,,,,,,,,,,,,,,
,,,,5.94,0,,,,,6.24,0,,,,,,,,,,,,,,
,,,,5.98,0,,,,,6.32,0,,,,,,,,,,,,,,
,,,,,,,,,,6.4,0,,,,,,,,,,,,,,
,,,,,,,,,,6.48,0,,,,,,,,,,,,,,
,,,,,,,,,,6.56,0,,,,,,,,,,,,,,
,,,,,,,,,,6.68,0,,,,,,,,,,,,,,
,,,,,,,,,,6.77,0,,,,,,,,,,,,,,
