#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction
4.47,0,3.8,0,3.61,0,3.55,0,4.07,0,3.64,0,4.02,0,4.24,0,4.32,0,4.56,0,3.7,0,4.01,0,4.09,0.14
4.55,0,3.88,0,3.65,0,3.63,0,4.15,0,3.72,0,4.1,0,4.32,0,4.4,0,4.64,0,3.78,0,4.09,0,4.21,0.19
4.63,0,3.96,0,3.69,0,3.71,0,4.23,0,3.76,0,4.18,0,4.4,0,4.48,0,4.72,0,3.9,0,4.17,0,4.31,0.11
4.71,0,4.04,0,3.73,0,3.79,0,4.31,0,3.8,0,4.26,0,4.48,0,4.56,0,4.8,0,4.02,0,4.25,0,4.44,0.11
4.79,0,4.12,0,3.77,0,3.87,0,4.39,0,3.88,0,4.34,0,4.56,0,4.64,0.068665377,4.88,0,4.14,0,4.33,0,4.48,0.07
4.87,0,4.2,0,3.81,0,3.95,0,4.47,0,3.96,0,4.42,0,4.64,0,4.72,0.086639307,4.96,0,4.22,0,4.41,0,4.56,0.13
4.95,0,4.28,0,3.85,0,4.03,0,4.55,0,4.28,0,4.5,0,4.72,0,4.8,0.042910448,5.04,0,4.28,0.057992203,4.49,0,4.64,0.50
5.03,0,4.36,0,3.89,0,4.11,0,4.63,0,4.32,0,4.58,0,4.8,0,4.88,0.404785156,5.12,0,4.33,0.043773906,4.57,0,4.84,0.63
5.11,0,4.44,0,3.93,0,4.19,0,4.71,0,4.36,0,4.66,0.582914573,4.88,0,4.96,0.541468065,5.2,0,4.41,0,4.64,0.12,4.92,0.58
5.19,0,4.52,0,3.97,0,4.27,0,4.79,0,4.4,0,4.74,0.573939134,4.96,0,5.04,0.195254572,5.28,0,4.49,0,4.73,0.16,5.02,0.08
5.27,0,4.6,0,4.01,0,4.35,0,4.87,0,4.44,0,4.82,0.270676692,5.04,0.085470085,5.12,0.128070175,5.36,0,4.66,0.0196011,4.81,0.25,5.14,0.13
5.35,0,4.68,0,4.05,0,4.43,0,4.95,0,4.48,0,4.9,0.451513067,5.12,0.042226488,5.2,0,5.44,0,4.72,0.041333796,4.89,0.34,5.26,0.10
5.59,0,4.76,0.220304569,4.09,0,4.51,0.082966475,5.03,0,4.52,0,4.98,0.479346346,5.2,0,5.36,0,5.52,0,4.81,0.180539719,4.97,0.44,5.37,0.26
5.67,0,4.84,0.24028436,4.13,0,4.59,0.12745098,5.11,0.137306677,4.6,0,5.06,0.353336534,5.28,0,5.44,0,5.61,0,4.99,0.145863223,5.05,0.41,5.47,0.15
,,4.92,0.365686275,4.17,0,4.67,0.209792844,5.19,0.095138307,4.64,0,5.14,0.109814964,5.36,0,5.52,0,,,4.88,0.144870791,5.13,0.46,,
,,5,0.391304348,4.21,0,4.75,0.202009702,5.27,0.137693632,4.68,0,5.22,0,5.44,0,5.59,0,,,5.15,0.043160691,5.2,0.41,,
,,5.08,0.413304253,4.25,0,4.83,0.103162651,5.35,0,4.7,0,5.3,0,5.52,0,,,,,5.25,0.029467681,5.33,0.31,,
,,5.16,0.326993865,4.29,0,4.91,0.110681658,5.6,0,4.74,0,5.38,0,5.59,0,,,,,5.37,0,5.42,0.18,,
,,5.24,0,4.33,0,4.99,0,,,4.76,0,5.54,0,,,,,,,5.45,0,5.57,0.27,,
,,5.32,0.043280182,4.37,0,5.07,0,,,4.8,0,5.62,0,,,,,,,5.57,0,,,,
,,5.4,0.109259259,4.41,0,5.15,0,,,4.82,0,,,,,,,,,5.62,0,,,,
,,5.48,0.051792829,4.45,0,,,,,4.84,0,,,,,,,,,,,,,,
,,5.56,0,4.49,0,,,,,4.92,0,,,,,,,,,,,,,,
,,5.64,0,4.53,0,,,,,4.96,0,,,,,,,,,,,,,,
,,,,4.57,0,,,,,5,0.208,,,,,,,,,,,,,,
,,,,4.61,0,,,,,5.18,0,,,,,,,,,,,,,,
,,,,4.65,0,,,,,5.26,0,,,,,,,,,,,,,,
,,,,4.69,0,,,,,5.34,0,,,,,,,,,,,,,,
,,,,4.73,0,,,,,5.36,0,,,,,,,,,,,,,,
,,,,4.77,0,,,,,5.4,0,,,,,,,,,,,,,,
,,,,4.81,0,,,,,5.46,0,,,,,,,,,,,,,,
,,,,4.85,0,,,,,5.48,0,,,,,,,,,,,,,,
,,,,4.89,0.311433986,,,,,5.52,0,,,,,,,,,,,,,,
,,,,4.93,0.340302491,,,,,5.56,0,,,,,,,,,,,,,,
,,,,4.97,0.242756804,,,,,5.6,0,,,,,,,,,,,,,,
,,,,5.01,0.406271302,,,,,5.64,0,,,,,,,,,,,,,,
,,,,5.05,0.416260954,,,,,,,,,,,,,,,,,,,,
,,,,5.09,0.420767717,,,,,,,,,,,,,,,,,,,,
,,,,5.13,0.315367808,,,,,,,,,,,,,,,,,,,,
,,,,5.17,0.231825987,,,,,,,,,,,,,,,,,,,,
,,,,5.21,0.204,,,,,,,,,,,,,,,,,,,,
,,,,5.25,0.154009936,,,,,,,,,,,,,,,,,,,,
,,,,5.29,0.183436533,,,,,,,,,,,,,,,,,,,,
,,,,5.33,0.15704698,,,,,,,,,,,,,,,,,,,,
