#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,,,,,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,,,,
4.96,0,5,0,4.97,0,5.06,0,5.02,0,4.96,0.45,4.98,0,4.97,0,5.04,0.820895522,4.97,0,5.03,0,4.98,1,5.12,0.06,,,,
5.04,0,5.08,0,5.01,0,5.14,0,5.1,0,5.14,0.489361702,5.06,0.331460674,5.05,1,5.12,0.5625,5.05,0,5.11,0,5.07,1,5.24,0.1,,,,
5.12,0,5.16,0.307377049,5.05,0.993288591,5.86,0,5.18,0,5.22,0.389830508,5.14,0.609022556,5.14,0.81547619,5.2,0,5.13,0,5.23,0,5.15,0.9,5.36,0.11,,,,
5.2,0,5.24,0,5.09,0.962962963,5.94,0.057961359,5.26,0,5.3,0.342857143,5.22,0,5.22,0.612359551,5.36,0,5.21,0,5.32,0.781456954,5.23,0.92,5.43,0.12,,,,
5.28,0.196363636,5.32,0.597000937,5.13,0.778378378,6.02,0.023728814,5.34,0,5.32,0.473684211,5.3,0,5.3,0.50317662,5.44,0,5.29,0,5.43,0.197899838,5.35,0.71,5.66,0.18,,,,
5.36,0.229981378,5.4,0.828203293,5.17,0.845238095,6.1,0,5.58,0,5.36,0.506666667,5.38,0,5.38,0.525917927,5.52,0,5.37,0,5.52,0.138352638,5.39,0.81,5.78,0.11,,,,
5.6,0.211812627,5.48,0.698588091,5.21,1,6.34,0,5.98,0.276307295,5.42,0.373333333,5.54,0.076446281,5.46,0,5.6,0,5.45,0,5.6,0,5.58,0.64,5.9,0.07,,,,
5.68,0.291076923,5.56,0.758488499,5.25,0.767195767,,,6.06,0,5.44,0.371794872,5.62,0.1125,5.54,0,5.68,0,5.53,0,5.72,0,5.71,0.37,6.02,0,,,,
5.76,0.220382166,5.64,0.653497064,5.29,0.562101911,,,6.14,0,5.48,0.346666667,5.7,0,5.62,0,5.76,0,5.61,0,5.84,0,5.9,0.26,6.14,0,,,,
5.84,0,5.72,0.632745878,5.33,0.474910394,,,6.23,0,5.52,0.324675325,5.78,0,5.7,0,5.84,0,5.69,0,5.96,0,,,6.26,0,,,,
6,0.049281314,5.8,0.624113475,5.37,0.31835206,,,,,5.56,0.135135135,5.88,0.099558607,5.78,0,5.92,0,5.77,0,6.04,0,6.38,0.13,6.43,0,,,,
6.08,0.067515924,5.88,0.627799736,5.41,0,,,,,5.6,0.303797468,5.96,0,5.86,0,6,0,5.85,0,6.12,0,,,,,,,,
6.16,0.134387352,5.96,0.641660016,5.45,0,,,,,5.66,0.088235294,6.04,0,5.94,0,6.08,0,5.93,0,6.24,0,,,,,,,,
6.24,0.06,6.04,0.554216867,5.49,0,,,,,5.72,0.142857143,6.12,0,6.02,0,6.16,0,6.01,0,6.32,0,,,,,,,,
6.32,0,6.12,0.490277778,5.53,0,,,,,5.74,0.238095238,6.2,0,6.1,0,6.24,0,6.09,0,6.4,0,,,,,,,,
6.4,0,6.2,0.561097257,5.57,0,,,,,5.76,0.180327869,6.36,0,6.18,0,6.32,0,6.17,0,6.39,0,,,,,,,,
,,6.28,0,5.61,0,,,,,5.84,0.16,6.44,0,6.42,0,6.39,0,6.25,0,,,,,,,,,,
,,6.36,0,5.65,0,,,,,5.86,0.183333333,,,,,,,6.33,0,,,,,,,,,,
,,,,5.69,0,,,,,5.9,1,,,,,,,6.41,0,,,,,,,,,,
,,,,5.73,0,,,,,5.98,0.127659574,,,,,,,,,,,,,,,,,,
,,,,5.77,0,,,,,6.02,0,,,,,,,,,,,,,,,,,,
,,,,5.81,0,,,,,6.06,0,,,,,,,,,,,,,,,,,,
,,,,5.85,0,,,,,6.18,0,,,,,,,,,,,,,,,,,,
,,,,5.89,0,,,,,6.26,0,,,,,,,,,,,,,,,,,,
,,,,5.93,0,,,,,6.34,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,6.42,0,,,,,,,,,,,,,,,,,,
