#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,,,,,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,,,,
6.01,0,6.02,0,6.94,0,6.05,0,6.11,0,6.02,0,6.08,0,6.02,0,6.01,0,6.05,0,6,0,6.04,0,6.16,0,,,,
6.09,0,6.1,0,7.01,0,6.13,0,6.19,0,6.06,0,6.16,0,6.26,0,6.09,0,6.13,0,6.12,0,6.28,0,6.24,0,,,,
6.17,0,6.18,0,7.1,0,6.21,0,6.27,0,6.1,0,6.24,0,6.34,0,6.17,0,6.21,0,6.24,0,6.44,0,6.32,0,,,,
6.25,0,6.26,0,7.18,0,6.45,0,6.35,0,6.22,0,6.32,0,6.42,0,6.25,0,6.29,0,6.36,0,6.6,0,6.4,0,,,,
6.33,0,6.34,0,,,6.61,0,6.67,0,6.3,0,6.4,0,6.66,0,6.33,0,6.37,0,6.44,0,6.72,0,6.52,0,,,,
6.41,0,6.42,0,,,6.77,0,6.83,0,6.38,0,6.56,0,6.74,0,6.41,0,6.45,0,6.52,0,6.84,0,6.64,0,,,,
6.49,0,6.5,0,,,6.85,0,6.91,0,6.46,0,6.64,0,6.82,0,6.49,0,6.53,0,6.64,0,7,0,6.76,0,,,,
6.73,0,6.58,0,,,6.93,0,7.07,0,6.54,0.096153846,6.72,0,6.9,0,6.57,0,6.61,0,6.72,0,7.11,0,6.84,0,,,,
6.81,0,6.66,0,,,7.01,0,7.15,0,6.66,0.340909091,6.8,0,6.98,0,6.65,0,6.69,0,6.8,0,,,6.92,0,,,,
6.89,0,6.74,0,,,7.09,0,7.23,0,6.78,0,6.88,0,7.06,0,6.73,0,6.77,0,6.92,0,,,7,0,,,,
6.97,0,6.82,0,,,7.17,0,,,6.86,0,6.96,0,7.14,0,6.81,0,6.85,0,7.04,0,,,,,,,,
7.05,0,6.9,0,,,7.25,0,,,6.96,0,7.04,0,,,6.89,0,6.93,0,7.16,0,,,,,,,,
7.13,0,6.98,0,,,7.33,0,,,7.08,0,7.12,0,,,6.97,0,7.01,0,7.28,0,,,,,,,,
,,7.06,0,,,,,,,7.19,0,7.2,0,,,7.05,0,7.09,0,7.4,0,,,,,,,,
,,7.14,0,,,,,,,,,7.17,0,,,7.13,0,7.17,0,,,,,,,,,,
,,7.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,
