#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction
4.46,0,4.22,0,4.19,0,4.21,0,4.19,0,4.33,0,4.23,0,4.21,0,4.3,0,4.53,0,4.24,0,4.23,0,4.17,1
4.54,0,4.3,0,4.23,0,4.29,0,4.27,0,4.37,0,4.31,0,4.29,0,4.38,0,4.61,0,4.4,1,4.31,0,4.29,1
4.62,0,4.38,0,4.27,0,4.37,0,4.35,0,4.41,0,4.39,0,4.37,0,4.46,0,4.69,0,4.47,0.617857143,4.39,0,4.36,1
4.7,0,4.46,0,4.31,0,4.45,0,4.43,0,4.45,0,4.47,0,4.45,0,4.54,0,4.77,0,4.56,1,4.47,0,4.43,1
4.78,0,4.54,0,4.35,0,4.53,0,4.51,0,4.49,0,4.55,0,4.53,0,4.62,0.087064677,4.85,0,4.64,1,4.55,0,4.63,1
4.86,0,4.62,0,4.39,0,4.61,0,4.59,0,4.53,0,4.63,0,4.61,0,4.7,0.192164179,4.93,0,4.73,0.350439883,4.63,0,4.71,1
4.94,0,4.7,0,4.43,0,4.69,0,4.67,0,4.57,0,4.71,0,4.69,0,4.78,0.471582181,5.01,0,4.8,0.224489796,4.71,0,4.82,0.46
5.02,0,4.78,0.011347518,4.47,0,4.77,0,4.75,0,4.65,0,4.79,0,4.77,0,4.86,0,5.09,0,4.86,0.289527721,4.79,0,4.94,0.38
5.1,0,4.86,0.028153153,4.51,0,4.85,0,4.83,0,4.69,0,4.87,0,4.85,0,4.94,0,5.17,0,4.93,0.301724138,4.87,0,5.05,0.65
5.18,0,4.94,0.010235415,4.55,0,4.93,0,4.91,0,4.73,0,4.95,0,4.93,0,5.02,0,5.25,0,5.01,0.22826087,4.95,0,5.17,0.86
5.26,0.08411215,5.02,0.005300353,4.59,0,5.01,0,4.99,0,4.75,0,5.03,0,5.01,0,5.1,0.126416739,5.33,0,5.25,0.539784946,5.03,0,5.25,0.78
